Event ID,Event Type,Name,Date,Time,VIP Price,Gold Price,Silver Price,Bronze Price,General Admission Price,Venue Name,Pct Seats Unavailable,Venue Type,Capacity,Cost,VIP Pct,Gold Pct,Silver Pct,Bronze Pct,General Adminission Pct,Reserved Extra Pct,Fireworks,Fireworks Cost,VIP Seats Sold,Gold Seats Sold,Silver Seats Sold,Bronze Seats Sold,General Admission Seats Sold,Total VIP Revenue,Total Gold Revenue,Total Silver Revenue,Total Bronze Revenue,Total General Admission Revenue
1,Sport,UTEP Football 1,9/4/2025,7:05 PM,36.0,30.0,22.5,19.5,15.0,Sun Bowl Stadium,0,Stadium,58000,618901.81,45.0,20.0,15.0,10.0,5.0,5,Yes,17400.0,20,13,43,23,44,720.00,390.00,967.50,448.50,660.00
2,Sport,UTEP Football 2,9/11/2025,7:05 PM,36.0,30.0,22.5,19.5,15.0,Sun Bowl Stadium,0,Stadium,58000,664615.26,45.0,20.0,15.0,10.0,5.0,5,Yes,17400.0,21,12,15,34,11,756.00,360.00,337.50,663.00,165.00
3,Sport,UTEP Football 3,9/18/2025,7:05 PM,36.0,27.0,22.5,19.5,15.0,Sun Bowl Stadium,0,Stadium,58000,647766.97,45.0,20.0,15.0,10.0,5.0,5,No,0,13,18,18,32,10,468.00,486.00,405.00,624.00,150.00
4,Sport,UTEP Football 4,9/25/2025,7:05 PM,36.0,27.0,22.5,19.5,15.0,Sun Bowl Stadium,0,Stadium,58000,617723.26,45.0,20.0,15.0,10.0,5.0,5,Yes,17400.0,26,19,37,29,30,936.00,513.00,832.50,565.50,450.00
5,Sport,UTEP Football 5,10/2/2025,7:05 PM,36.0,27.0,22.5,19.5,15.0,Sun Bowl Stadium,0,Stadium,58000,678134.39,45.0,20.0,15.0,10.0,5.0,5,Yes,17400.0,2,13,16,21,22,72.00,351.00,360.00,409.50,330.00
6,Sport,UTEP Football 6,10/9/2025,7:05 PM,36.0,27.0,22.5,19.5,15.0,Sun Bowl Stadium,0,Stadium,58000,658958.32,45.0,20.0,15.0,10.0,5.0,5,Yes,17400.0,17,28,15,14,18,612.00,756.00,337.50,273.00,270.00
7,Sport,UTEP Football 7,10/16/2025,7:05 PM,36.0,27.0,22.5,19.5,15.0,Sun Bowl Stadium,0,Stadium,58000,675670.02,45.0,20.0,15.0,10.0,5.0,5,Yes,17400.0,22,9,15,15,16,792.00,243.00,337.50,292.50,240.00
8,Sport,UTEP Football 8,10/23/2025,7:05 PM,38.4,28.8,24.0,20.8,16.0,Sun Bowl Stadium,0,Stadium,58000,647002.16,45.0,20.0,15.0,10.0,5.0,5,No,0,18,29,20,18,5,691.20,835.20,480.00,374.40,80.00
9,Sport,UTEP Football 9,10/30/2025,7:05 PM,40.0,28.8,24.0,20.8,16.0,Sun Bowl Stadium,0,Stadium,58000,657749.06,45.0,20.0,15.0,10.0,5.0,5,No,0,23,16,7,17,7,920.00,460.80,168.00,353.60,112.00
10,Sport,UTEP Football 10,11/6/2025,7:05 PM,40.0,28.8,24.0,20.8,16.0,Sun Bowl Stadium,0,Stadium,58000,647383.72,45.0,20.0,15.0,10.0,5.0,5,No,0,16,12,16,23,21,640.00,345.60,384.00,478.40,336.00
11,Sport,UTEP Football 11,11/13/2025,7:05 PM,40.0,28.8,24.0,20.8,16.0,Sun Bowl Stadium,0,Stadium,58000,661901.56,45.0,20.0,15.0,10.0,5.0,5,Yes,18560.0,10,17,28,10,25,400.00,489.60,672.00,208.00,400.00
12,Sport,UTEP Football 12,11/20/2025,7:05 PM,40.0,28.8,24.0,20.8,16.0,Sun Bowl Stadium,0,Stadium,58000,643076.92,45.0,20.0,15.0,10.0,5.0,5,Yes,18560.0,19,29,22,31,16,760.00,835.20,528.00,644.80,256.00
13,Sport,UTEP Football 13,11/27/2025,7:05 PM,45.0,32.4,27.0,23.4,18.0,Sun Bowl Stadium,0,Stadium,58000,656905.23,45.0,20.0,15.0,10.0,5.0,5,Yes,20880.0,12,20,28,1,35,540.00,648.00,756.00,23.40,630.00
14,Sport,UTEP Basketball 1,11/20/2025,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,121568.31,45.0,20.0,15.0,10.0,5.0,5,No,0,17,6,36,18,11,637.50,162.00,810.00,351.00,165.00
15,Sport,UTEP Basketball 2,11/22/2025,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,89683.22,45.0,20.0,15.0,10.0,5.0,5,No,0,26,42,21,5,22,1105.00,1285.20,535.50,110.50,374.00
16,Sport,UTEP Basketball 3,11/27/2025,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,118197.47,45.0,20.0,15.0,10.0,5.0,5,No,0,23,23,6,18,17,862.50,621.00,135.00,351.00,255.00
17,Sport,UTEP Basketball 4,11/29/2025,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,122865.13,45.0,20.0,15.0,10.0,5.0,5,No,0,4,15,24,22,17,170.00,459.00,612.00,486.20,289.00
18,Sport,UTEP Basketball 5,12/4/2025,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,105876.12,45.0,20.0,15.0,10.0,5.0,5,No,0,11,8,43,30,28,412.50,216.00,967.50,585.00,420.00
19,Sport,UTEP Basketball 6,12/6/2025,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,111665.33,45.0,20.0,15.0,10.0,5.0,5,No,0,27,12,9,14,28,1147.50,367.20,229.50,309.40,476.00
20,Sport,UTEP Basketball 7,12/11/2025,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,89093.83,45.0,20.0,15.0,10.0,5.0,5,No,0,34,11,15,31,26,1275.00,297.00,337.50,604.50,390.00
21,Sport,UTEP Basketball 8,12/13/2025,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,71036.78,45.0,20.0,15.0,10.0,5.0,5,No,0,29,16,32,24,37,1232.50,489.60,816.00,530.40,629.00
22,Sport,UTEP Basketball 9,12/18/2025,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,88209.92,45.0,20.0,15.0,10.0,5.0,5,No,0,27,22,19,16,38,1012.50,594.00,427.50,312.00,570.00
23,Sport,UTEP Basketball 10,12/20/2025,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,110410.53,45.0,20.0,15.0,10.0,5.0,5,No,0,18,28,2,26,21,765.00,856.80,51.00,574.60,357.00
24,Sport,UTEP Basketball 11,12/25/2025,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,105071.18,45.0,20.0,15.0,10.0,5.0,5,No,0,20,27,5,38,34,750.00,729.00,112.50,741.00,510.00
25,Sport,UTEP Basketball 12,12/27/2025,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,98653.40,45.0,20.0,15.0,10.0,5.0,5,No,0,23,25,11,19,22,977.50,765.00,280.50,419.90,374.00
26,Sport,UTEP Basketball 13,1/1/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,118982.80,45.0,20.0,15.0,10.0,5.0,5,No,0,28,13,16,10,15,1050.00,351.00,360.00,195.00,225.00
27,Sport,UTEP Basketball 14,1/3/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,111943.76,45.0,20.0,15.0,10.0,5.0,5,No,0,18,28,15,16,10,765.00,856.80,382.50,353.60,170.00
28,Sport,UTEP Basketball 15,1/8/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,93343.15,45.0,20.0,15.0,10.0,5.0,5,No,0,30,23,21,22,15,1125.00,621.00,472.50,429.00,225.00
29,Sport,UTEP Basketball 16,1/10/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,77081.20,45.0,20.0,15.0,10.0,5.0,5,No,0,17,38,20,49,19,722.50,1162.80,510.00,1082.90,323.00
30,Sport,UTEP Basketball 17,1/15/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,96641.18,45.0,20.0,15.0,10.0,5.0,5,No,0,20,15,14,24,49,750.00,405.00,315.00,468.00,735.00
31,Sport,UTEP Basketball 18,1/17/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,106633.08,45.0,20.0,15.0,10.0,5.0,5,No,0,24,25,9,25,14,1020.00,765.00,229.50,552.50,238.00
32,Sport,UTEP Basketball 19,1/22/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,114843.36,45.0,20.0,15.0,10.0,5.0,5,No,0,29,16,14,20,10,1087.50,432.00,315.00,390.00,150.00
33,Sport,UTEP Basketball 20,1/24/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,94876.94,45.0,20.0,15.0,10.0,5.0,5,No,0,38,8,28,14,9,1615.00,244.80,714.00,309.40,153.00
34,Sport,UTEP Basketball 21,1/29/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,81459.76,45.0,20.0,15.0,10.0,5.0,5,No,0,26,31,38,22,17,975.00,837.00,855.00,429.00,255.00
35,Sport,UTEP Basketball 22,1/31/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,126239.73,45.0,20.0,15.0,10.0,5.0,5,No,0,11,15,23,12,6,467.50,459.00,586.50,265.20,102.00
36,Sport,UTEP Basketball 23,2/5/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,119659.84,45.0,20.0,15.0,10.0,5.0,5,No,0,14,16,21,17,28,525.00,432.00,472.50,331.50,420.00
37,Sport,UTEP Basketball 24,2/7/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,72948.48,45.0,20.0,15.0,10.0,5.0,5,No,0,19,42,14,25,37,807.50,1285.20,357.00,552.50,629.00
38,Sport,UTEP Basketball 25,2/12/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,98022.17,45.0,20.0,15.0,10.0,5.0,5,No,0,23,20,26,10,30,862.50,540.00,585.00,195.00,450.00
39,Sport,UTEP Basketball 26,2/14/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,108239.00,45.0,20.0,15.0,10.0,5.0,5,No,0,18,22,10,14,24,765.00,673.20,255.00,309.40,408.00
40,Sport,UTEP Basketball 27,2/19/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,78058.47,45.0,20.0,15.0,10.0,5.0,5,No,0,22,46,22,32,16,825.00,1242.00,495.00,624.00,240.00
41,Sport,UTEP Basketball 28,2/21/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,118489.71,45.0,20.0,15.0,10.0,5.0,5,No,0,11,22,18,21,4,467.50,673.20,459.00,464.10,68.00
42,Sport,UTEP Basketball 29,2/26/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,86732.79,45.0,20.0,15.0,10.0,5.0,5,No,0,14,20,30,37,27,525.00,540.00,675.00,721.50,405.00
43,Sport,UTEP Basketball 30,2/28/2026,7:15 PM,42.5,30.6,25.5,22.1,17.0,Don Haskins Center,0,Arena,12800,105364.51,45.0,20.0,15.0,10.0,5.0,5,No,0,23,25,17,15,16,977.50,765.00,433.50,331.50,272.00
44,Sport,UTEP Basketball 31,3/5/2026,6:30 PM,37.5,27.0,22.5,19.5,15.0,Don Haskins Center,0,Arena,12800,112939.83,45.0,20.0,15.0,10.0,5.0,5,No,0,21,15,22,29,14,787.50,405.00,495.00,565.50,210.00
45,Concert,UTEP Wind Symphony 1,11/30/2025,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-27202.39,45.0,20.0,15.0,10.0,5.0,5,No,0,10,20,21,19,35,406.30,537.60,498.75,296.97,218.75
46,Concert,UTEP Wind Symphony 2,1/9/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-55108.02,45.0,20.0,15.0,10.0,5.0,5,No,0,16,41,14,19,28,670.08,1102.08,332.50,296.97,175.00
47,Concert,UTEP Wind Symphony 3,5/28/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-25049.22,45.0,20.0,15.0,10.0,5.0,5,No,0,19,22,13,30,14,795.72,591.36,308.75,468.90,87.50
48,Concert,UTEP Wind Symphony 4,5/20/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-58924.81,45.0,20.0,15.0,10.0,5.0,5,No,0,22,29,23,35,39,921.36,779.52,546.25,547.05,243.75
49,Concert,UTEP Wind Symphony 5,11/14/2025,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-5616.55,45.0,20.0,15.0,10.0,5.0,5,No,0,13,14,10,21,13,544.44,376.32,237.50,328.23,81.25
50,Concert,UTEP Wind Symphony 6,1/8/2026,6:00 PM,41.88,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,-31995.57,45.0,20.0,15.0,10.0,5.0,5,No,0,22,23,16,20,26,921.36,618.24,380.00,312.60,162.50
